fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479095/ERR479095_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479095/ERR479095_2.fastq.gz	ERR479095
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479102/ERR479102_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479102/ERR479102_2.fastq.gz	ERR479102
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479109/ERR479109_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479109/ERR479109_2.fastq.gz	ERR479109
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479121/ERR479121_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479121/ERR479121_2.fastq.gz	ERR479121
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479138/ERR479138_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479138/ERR479138_2.fastq.gz	ERR479138
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479139/ERR479139_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479139/ERR479139_2.fastq.gz	ERR479139
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479164/ERR479164_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479164/ERR479164_2.fastq.gz	ERR479164
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479168/ERR479168_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479168/ERR479168_2.fastq.gz	ERR479168
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479171/ERR479171_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479171/ERR479171_2.fastq.gz	ERR479171
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479172/ERR479172_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479172/ERR479172_2.fastq.gz	ERR479172
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479176/ERR479176_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479176/ERR479176_2.fastq.gz	ERR479176
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479183/ERR479183_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479183/ERR479183_2.fastq.gz	ERR479183
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479189/ERR479189_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479189/ERR479189_2.fastq.gz	ERR479189
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479191/ERR479191_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479191/ERR479191_2.fastq.gz	ERR479191
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479195/ERR479195_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479195/ERR479195_2.fastq.gz	ERR479195
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479197/ERR479197_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479197/ERR479197_2.fastq.gz	ERR479197
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479201/ERR479201_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479201/ERR479201_2.fastq.gz	ERR479201
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479202/ERR479202_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479202/ERR479202_2.fastq.gz	ERR479202
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479205/ERR479205_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479205/ERR479205_2.fastq.gz	ERR479205
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479208/ERR479208_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479208/ERR479208_2.fastq.gz	ERR479208
